"","cdatetime","district","crime_level","longitude","latitude","registry_number","sum_acomulated","mean_acomulated"
"97",2006-01-01,4,4,-121.5136898,38.49714012,97,514,5.29896907216495
"98",2006-01-01,3,2,-121.4692575,38.57201606,98,516,5.26530612244898
"99",2006-01-01,2,5,-121.4382569,38.61859754,99,521,5.26262626262626
"100",2006-01-01,3,5,-121.4678719,38.57348427,100,526,5.26
"101",2006-01-01,2,7,-121.4578062,38.61197962,101,533,5.27722772277228
"102",2006-01-01,1,2,-121.5104473,38.62099831,102,535,5.24509803921569
"103",2006-01-01,6,1,-121.4142712,38.51755951,103,536,5.20388349514563
"104",2006-01-01,2,7,-121.4392401,38.63465784,104,543,5.22115384615385
"105",2006-01-01,2,5,-121.4477394,38.65509277,105,548,5.21904761904762
"106",2006-01-01,4,7,-121.5412748,38.5076709,106,555,5.23584905660377
"107",2006-01-01,2,8,-121.4535351,38.65966202,107,563,5.26168224299065
"108",2006-01-01,2,4,-121.4534714,38.61499077,108,567,5.25
"109",2006-01-01,1,2,-121.5038615,38.65699142,109,569,5.22018348623853
"110",2006-01-01,2,2,-121.4213652,38.63500106,110,571,5.19090909090909
"111",2006-01-01,5,2,-121.4592772,38.49601155,111,573,5.16216216216216
"112",2006-01-01,6,7,-121.4709505,38.54182394,112,580,5.17857142857143
"113",2006-01-01,2,2,-121.4130509,38.63963285,113,582,5.15044247787611
"114",2006-01-01,1,7,-121.5282646,38.63351404,114,589,5.16666666666667
"115",2006-01-01,2,7,-121.4244182,38.61199425,115,596,5.18260869565217
"116",2006-01-01,3,5,-121.4761823,38.57546355,116,601,5.18103448275862
"117",2006-01-01,4,2,-121.5534498,38.50771305,117,603,5.15384615384615
"118",2006-01-01,4,7,-121.5286379,38.51617367,118,610,5.16949152542373
"119",2006-01-01,2,4,-121.4352821,38.60088271,119,614,5.15966386554622
"120",2006-01-01,1,7,-121.4903723,38.63244741,120,621,5.175
"121",2006-01-01,1,7,-121.513946,38.62275946,121,628,5.1900826446281
"122",2006-01-01,4,1,-121.5343434,38.51110856,122,629,5.15573770491803
"123",2006-01-01,2,5,-121.4444547,38.61286644,123,634,5.15447154471545
"124",2006-01-01,1,7,-121.4993798,38.61301252,124,641,5.16935483870968
"125",2006-01-01,1,5,-121.5411045,38.60758365,125,646,5.168
"126",2006-01-01,2,1,-121.4477394,38.65509277,126,647,5.13492063492064
"127",2006-01-01,4,1,-121.515833,38.5206653,127,648,5.10236220472441
"128",2006-01-01,1,2,-121.528707,38.62749128,128,650,5.078125
"129",2006-01-01,3,3,-121.4106138,38.55456463,129,653,5.06201550387597
"130",2006-01-01,1,1,-121.5291389,38.66227019,130,654,5.03076923076923
"131",2006-01-01,3,1,-121.409084,38.5695415,131,655,5
"132",2006-01-01,1,5,-121.5119979,38.65731154,132,660,5
"133",2006-01-01,6,6,-121.4620361,38.54072015,133,666,5.00751879699248
"134",2006-01-01,4,6,-121.5068742,38.53437911,134,672,5.01492537313433
"135",2006-01-01,2,1,-121.431713,38.62194039,135,673,4.98518518518518
"136",2006-01-01,5,4,-121.4161718,38.46337225,136,677,4.97794117647059
"137",2006-01-01,3,6,-121.3882189,38.54929974,137,683,4.98540145985401
"138",2006-01-01,5,7,-121.456788,38.46449565,138,690,5
"139",2006-01-01,3,4,-121.500996,38.58259727,139,694,4.99280575539568
"140",2006-01-01,6,7,-121.4458147,38.54100057,140,701,5.00714285714286
"141",2006-01-01,6,2,-121.4477561,38.53725889,141,703,4.98581560283688
"142",2006-01-01,4,1,-121.5139339,38.52545723,142,704,4.95774647887324
"143",2006-01-01,2,8,-121.454378,38.61361383,143,712,4.97902097902098
"144",2006-01-01,3,1,-121.5014996,38.58062786,144,713,4.95138888888889
"145",2006-01-01,5,6,-121.5001978,38.48682651,145,719,4.95862068965517
"146",2006-01-01,3,2,-121.4974538,38.58137649,146,721,4.93835616438356
"147",2006-01-01,5,6,-121.4360926,38.48023792,147,727,4.94557823129252
"148",2006-01-01,3,5,-121.4858505,38.58472227,148,732,4.94594594594595
"149",2006-01-01,2,3,-121.422421,38.60666541,149,735,4.93288590604027
"150",2006-01-01,2,6,-121.3815598,38.63862878,150,741,4.94
"151",2006-01-01,5,5,-121.448306,38.48420982,151,746,4.94039735099338
"152",2006-01-01,3,8,-121.3902704,38.56047289,152,754,4.96052631578947
"153",2006-01-01,2,7,-121.462463,38.65394829,153,761,4.97385620915033
"154",2006-01-01,2,2,-121.4447319,38.62221222,154,763,4.95454545454545
"155",2006-01-01,2,7,-121.4304825,38.62524321,155,770,4.96774193548387
"156",2006-01-01,5,2,-121.4304773,38.46027205,156,772,4.94871794871795
"157",2006-01-01,2,7,-121.4244182,38.61199425,157,779,4.96178343949045
"158",2006-01-01,2,3,-121.42747,38.60154457,158,782,4.94936708860759
"159",2006-01-01,2,1,-121.4424469,38.61317258,159,783,4.92452830188679
"160",2006-01-01,4,6,-121.4990149,38.52199137,160,789,4.93125
"161",2006-01-01,2,2,-121.440864,38.63070055,161,791,4.91304347826087
"162",2006-01-01,2,7,-121.3846125,38.6374478,162,798,4.92592592592593
"163",2006-01-01,3,7,-121.4313525,38.56839814,163,805,4.93865030674847
"164",2006-01-01,5,5,-121.5015786,38.48020103,164,810,4.9390243902439
"165",2006-01-01,1,9,-121.528,38.63910642,165,819,4.96363636363636
"166",2006-01-01,3,8,-121.5029735,38.57543889,166,827,4.98192771084337
"167",2006-01-01,5,5,-121.4613302,38.49203951,167,832,4.98203592814371
"168",2006-01-01,1,7,-121.5345401,38.6776884,168,839,4.99404761904762
"169",2006-01-01,6,8,-121.4712254,38.54199544,169,847,5.01183431952663
"170",2006-01-01,4,5,-121.5313723,38.5127908,170,852,5.01176470588235
"171",2006-01-01,3,1,-121.4852542,38.56796664,171,853,4.98830409356725
"172",2006-01-01,4,2,-121.4804148,38.50488174,172,855,4.97093023255814
"173",2006-01-01,4,3,-121.4990149,38.52199137,173,858,4.95953757225434
"174",2006-01-01,2,1,-121.4261249,38.64823548,174,859,4.9367816091954
"175",2006-01-01,1,4,-121.5055312,38.63589608,175,863,4.93142857142857
"176",2006-01-01,2,6,-121.4424398,38.63869884,176,869,4.9375
"177",2006-01-01,1,7,-121.4969793,38.66157492,177,876,4.94915254237288
"178",2006-01-01,5,4,-121.4296995,38.47415723,178,880,4.9438202247191
"179",2006-01-01,3,4,-121.3940644,38.54818818,179,884,4.93854748603352
"180",2006-01-01,3,4,-121.3751255,38.5530906,180,888,4.93333333333333
"181",2006-01-01,2,1,-121.4242104,38.64770425,181,889,4.91160220994475
"182",2006-01-01,3,3,-121.4786515,38.56737967,182,892,4.9010989010989
"183",2006-01-01,1,5,-121.4953467,38.60972461,183,897,4.9016393442623
"184",2006-01-01,5,2,-121.4133413,38.45718227,184,899,4.88586956521739
"185",2006-01-01,3,3,-121.4838823,38.5777553,185,902,4.87567567567568
"186",2006-01-01,5,5,-121.4291448,38.45964489,186,907,4.87634408602151
"187",2006-01-01,6,5,-121.4129728,38.50926564,187,912,4.87700534759358
"188",2006-01-01,2,7,-121.4281542,38.63535055,188,919,4.88829787234043
"189",2006-01-01,1,2,-121.487454,38.62642643,189,921,4.87301587301587
"190",2006-01-01,3,7,-121.4902264,38.58432423,190,928,4.88421052631579
"191",2006-01-01,3,3,-121.4872296,38.57001564,191,931,4.87434554973822
"192",2006-01-01,6,8,-121.4438874,38.52496323,192,939,4.890625
"193",2006-01-01,6,5,-121.4443121,38.52517945,193,944,4.89119170984456
"194",2006-01-01,2,7,-121.4590851,38.62009985,194,951,4.9020618556701
"195",2006-01-01,2,6,-121.4204494,38.6176064,195,957,4.90769230769231
"196",2006-01-01,6,5,-121.4728119,38.54069286,196,962,4.90816326530612
"197",2006-01-01,4,4,-121.4913716,38.56108765,197,966,4.90355329949239
"198",2006-01-01,2,3,-121.4258496,38.62764502,198,969,4.89393939393939
"199",2006-01-01,6,1,-121.4443121,38.52517945,199,970,4.87437185929648
"200",2006-01-01,1,1,-121.5223763,38.65543537,200,971,4.855
"201",2006-01-01,5,7,-121.4579445,38.49250972,201,978,4.86567164179105
"202",2006-01-01,3,9,-121.4940223,38.60057486,202,987,4.88613861386139
"203",2006-01-01,2,6,-121.4587997,38.61712192,203,993,4.89162561576355
"204",2006-01-01,2,6,-121.4587997,38.61712192,204,999,4.89705882352941
"205",2006-01-01,5,5,-121.4127165,38.44227407,205,1004,4.89756097560976
"206",2006-01-01,2,7,-121.4177759,38.63425266,206,1011,4.90776699029126
"207",2006-01-01,4,4,-121.4762723,38.55701398,207,1015,4.90338164251208
"208",2006-01-01,3,2,-121.4848464,38.58376222,208,1017,4.88942307692308
"209",2006-01-01,6,7,-121.4674602,38.54242302,209,1024,4.89952153110048
"210",2006-01-01,3,4,-121.5050785,38.59572389,210,1028,4.8952380952381
"211",2006-01-01,2,5,-121.46479,38.609884,211,1033,4.8957345971564
"212",2006-01-01,1,7,-121.5092581,38.62798992,212,1040,4.90566037735849
"213",2006-01-01,2,7,-121.4295032,38.60240036,213,1047,4.91549295774648
"214",2006-01-01,3,1,-121.4924504,38.57117547,214,1048,4.89719626168224
"215",2006-01-01,6,7,-121.4112131,38.50482198,215,1055,4.90697674418605
"216",2006-01-01,1,4,-121.494681,38.61328867,216,1059,4.90277777777778
"217",2006-01-01,2,1,-121.4593596,38.61112465,217,1060,4.88479262672811
"218",2006-01-01,1,4,-121.4971301,38.62581805,218,1064,4.88073394495413
"219",2006-01-01,1,5,-121.5119472,38.61102318,219,1069,4.88127853881279
"220",2006-01-01,2,6,-121.4260893,38.62266231,220,1075,4.88636363636364
"221",2006-01-01,3,8,-121.4792459,38.56788759,221,1083,4.90045248868778
"222",2006-01-01,1,5,-121.4763493,38.63659439,222,1088,4.9009009009009
"223",2006-01-01,6,6,-121.4434066,38.52654807,223,1094,4.90582959641256
"224",2006-01-01,5,8,-121.4592772,38.49601155,224,1102,4.91964285714286
"225",2006-01-01,2,5,-121.4269745,38.60311006,225,1107,4.92
"226",2006-01-01,1,5,-121.4924786,38.61589867,226,1112,4.92035398230088
"227",2006-01-01,2,2,-121.4528434,38.60880668,227,1114,4.90748898678414
"228",2006-01-01,6,5,-121.4506403,38.53137433,228,1119,4.90789473684211
"229",2006-01-01,6,5,-121.4523742,38.5313798,229,1124,4.90829694323144
